Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
5,15,8,1,0,62.50,2,bowled,2,v South Africa,Centurion,2011-01-23,https://stats.espncricinfo.com/ci/engine/match/463154.html,234,10,2.1367521367521367,L
68,131,75,3,1,90.66,5,not out,2,v West Indies,Port of Spain,2011-06-06,https://stats.espncricinfo.com/ci/engine/match/489221.html,217,6,31.336405529953915,W
7,8,14,1,0,50.00,5,not out,2,v West Indies,Port of Spain,2011-06-08,https://stats.espncricinfo.com/ci/engine/match/489222.html,183,3,3.825136612021858,W
86,137,91,5,2,94.50,5,not out,2,v West Indies,North Sound,2011-06-11,https://stats.espncricinfo.com/ci/engine/match/489223.html,228,7,37.719298245614034,W
39,60,47,0,1,82.97,5,caught,2,v West Indies,North Sound,2011-06-13,https://stats.espncricinfo.com/ci/engine/match/489224.html,146,10,26.71232876712329,L
57,105,72,2,1,79.16,5,bowled,1,v West Indies,Kingston,2011-06-16,https://stats.espncricinfo.com/ci/engine/match/489225.html,251,10,22.709163346613543,L
0,1,1,0,0,0.00,5,retired notout,1,v England,Chester-le-Street,2011-09-03,https://stats.espncricinfo.com/ci/engine/match/474477.html,274,7,0.0,L
72,185,99,3,1,72.72,5,bowled,2,v West Indies,Cuttack,2011-11-29,https://stats.espncricinfo.com/ci/engine/match/536929.html,213,9,33.80281690140845,W
90,131,98,7,2,91.83,5,not out,2,v West Indies,Visakhapatnam,2011-12-02,https://stats.espncricinfo.com/ci/engine/match/536930.html,270,5,33.33333333333333,W
95,151,100,10,1,95.00,5,run out,2,v West Indies,Ahmedabad,2011-12-05,https://stats.espncricinfo.com/ci/engine/match/536931.html,244,10,38.9344262295082,L
27,21,16,3,0,168.75,5,bowled,1,v West Indies,Indore,2011-12-08,https://stats.espncricinfo.com/ci/engine/match/536932.html,418,5,6.4593301435406705,W
