Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
105,180,134,10,0,78.35,2,caught,1,v West Indies,Jaipur,1994-11-11,https://stats.espncricinfo.com/ci/engine/match/64482.html,259,5,40.54054054054054,W
13,30,15,3,0,86.66,2,caught,1,v New Zealand,Napier,1995-02-16,https://stats.espncricinfo.com/ci/engine/match/66019.html,160,10,8.125,L
37,75,51,3,1,72.54,2,caught,2,v South Africa,Hamilton,1995-02-18,https://stats.espncricinfo.com/ci/engine/match/66020.html,209,9,17.703349282296653,L
47,65,40,7,0,117.50,2,caught,2,v Australia,Dunedin,1995-02-22,https://stats.espncricinfo.com/ci/engine/match/66022.html,252,5,18.650793650793652,W
48,37,30,9,1,160.00,2,bowled,2,v Bangladesh,Sharjah,1995-04-05,https://stats.espncricinfo.com/ci/engine/match/65685.html,164,1,29.268292682926827,W
4,13,9,1,0,44.44,2,caught,2,v Pakistan,Sharjah,1995-04-07,https://stats.espncricinfo.com/ci/engine/match/65687.html,169,10,2.366863905325444,L
112,137,107,15,1,104.67,2,not out,2,v Sri Lanka,Sharjah,1995-04-09,https://stats.espncricinfo.com/ci/engine/match/65689.html,206,2,54.36893203883495,W
41,51,41,5,0,100.00,2,caught,2,v Sri Lanka,Sharjah,1995-04-14,https://stats.espncricinfo.com/ci/engine/match/65691.html,233,2,17.59656652360515,W
30,30,20,5,0,150.00,2,caught,1,v New Zealand,Jamshedpur,1995-11-15,https://stats.espncricinfo.com/ci/engine/match/64502.html,236,10,12.711864406779661,L
39,79,51,4,0,76.47,2,caught,2,v New Zealand,Amritsar,1995-11-18,https://stats.espncricinfo.com/ci/engine/match/64503.html,146,4,26.71232876712329,W
7,27,11,1,0,63.63,2,caught,2,v New Zealand,Pune,1995-11-24,https://stats.espncricinfo.com/ci/engine/match/64504.html,236,5,2.9661016949152543,W
65,96,59,9,1,110.16,2,run out,2,v New Zealand,Nagpur,1995-11-26,https://stats.espncricinfo.com/ci/engine/match/64505.html,249,10,26.104417670682732,L
1,14,4,0,0,25.00,2,bowled,2,v New Zealand,Brabourne,1995-11-29,https://stats.espncricinfo.com/ci/engine/match/64506.html,128,4,0.78125,W
127,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,1996-02-18,https://stats.espncricinfo.com/ci/engine/match/65161.html,203,3,62.5615763546798,W
70,137,91,8,0,76.92,2,run out,2,v West Indies,Gwalior,1996-02-21,https://stats.espncricinfo.com/ci/engine/match/65165.html,174,5,40.229885057471265,W
90,124,84,14,1,107.14,2,stumped,2,v Australia,Wankhede,1996-02-27,https://stats.espncricinfo.com/ci/engine/match/65174.html,242,10,37.1900826446281,L
137,198,137,8,5,100.00,2,run out,1,v Sri Lanka,Delhi,1996-03-02,https://stats.espncricinfo.com/ci/engine/match/65179.html,271,3,50.55350553505535,L
3,10,12,0,0,25.00,1,bowled,1,v Zimbabwe,Kanpur,1996-03-06,https://stats.espncricinfo.com/ci/engine/match/65184.html,247,5,1.214574898785425,W
31,103,59,3,0,52.54,2,bowled,1,v Pakistan,Bengaluru,1996-03-09,https://stats.espncricinfo.com/ci/engine/match/65187.html,287,8,10.801393728222997,W
65,96,88,9,0,73.86,1,stumped,2,v Sri Lanka,Eden Gardens,1996-03-13,https://stats.espncricinfo.com/ci/engine/match/65190.html,120,8,54.166666666666664,L
28,-,31,3,1,90.32,1,caught,1,v Sri Lanka,Singapore,1996-04-03,https://stats.espncricinfo.com/ci/engine/match/66027.html,199,10,14.07035175879397,W
100,-,111,9,1,90.09,2,stumped,1,v Pakistan,Singapore,1996-04-05,https://stats.espncricinfo.com/ci/engine/match/66028.html,226,8,44.24778761061947,L
1,-,5,0,0,20.00,2,caught,2,v Pakistan,Sharjah,1996-04-12,https://stats.espncricinfo.com/ci/engine/match/65754.html,233,10,0.4291845493562232,L
2,23,15,0,0,13.33,2,caught,2,v South Africa,Sharjah,1996-04-14,https://stats.espncricinfo.com/ci/engine/match/65756.html,208,8,0.9615384615384616,L
118,-,140,8,2,84.28,2,caught,1,v Pakistan,Sharjah,1996-04-15,https://stats.espncricinfo.com/ci/engine/match/65757.html,305,5,38.68852459016394,W
17,32,26,2,0,65.38,2,caught,1,v South Africa,Sharjah,1996-04-17,https://stats.espncricinfo.com/ci/engine/match/65759.html,215,8,7.906976744186046,L
57,104,71,6,0,80.28,2,run out,2,v South Africa,Sharjah,1996-04-19,https://stats.espncricinfo.com/ci/engine/match/65760.html,249,9,22.89156626506024,L
30,30,19,5,1,157.89,2,lbw,2,v England,The Oval,1996-05-23,https://stats.espncricinfo.com/ci/engine/match/65017.html,96,5,31.25,L
6,26,19,0,0,31.57,2,run out,1,v England,Leeds,1996-05-25,https://stats.espncricinfo.com/ci/engine/match/65018.html,158,10,3.79746835443038,L
1,18,11,0,0,9.09,2,caught,1,v England,Manchester,1996-05-26,https://stats.espncricinfo.com/ci/engine/match/65019.html,236,4,0.423728813559322,L
110,-,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),1996-08-28,https://stats.espncricinfo.com/ci/engine/match/65982.html,226,5,48.67256637168141,L
40,60,46,8,0,86.95,2,caught,2,v Zimbabwe,Colombo (SSC),1996-09-01,https://stats.espncricinfo.com/ci/engine/match/65984.html,229,3,17.46724890829694,W
7,24,11,1,0,63.63,2,caught,1,v Australia,Colombo (SSC),1996-09-06,https://stats.espncricinfo.com/ci/engine/match/65986.html,201,10,3.482587064676617,L
89,-,89,9,3,100.00,2,not out,2,v Pakistan,Toronto,1996-09-16,https://stats.espncricinfo.com/ci/engine/match/66030.html,173,2,51.445086705202314,W
20,-,23,3,0,86.95,2,caught,1,v Pakistan,Toronto,1996-09-17,https://stats.espncricinfo.com/ci/engine/match/66031.html,264,6,7.575757575757576,L
2,-,13,0,0,15.38,2,caught,1,v Pakistan,Toronto,1996-09-18,https://stats.espncricinfo.com/ci/engine/match/66032.html,191,10,1.0471204188481675,W
3,-,9,0,0,33.33,2,caught,2,v Pakistan,Toronto,1996-09-21,https://stats.espncricinfo.com/ci/engine/match/66033.html,161,10,1.8633540372670807,L
23,-,44,0,1,52.27,2,run out,2,v Pakistan,Toronto,1996-09-23,https://stats.espncricinfo.com/ci/engine/match/66034.html,161,10,14.285714285714285,L
11,20,8,2,0,137.50,2,caught,2,v South Africa,Hyderabad (Deccan),1996-10-17,https://stats.espncricinfo.com/ci/engine/match/66059.html,214,10,5.14018691588785,L
88,189,111,9,0,79.27,2,lbw,2,v Australia,Bengaluru,1996-10-21,https://stats.espncricinfo.com/ci/engine/match/66061.html,216,8,40.74074074074074,W
64,133,93,3,0,68.81,2,caught,2,v South Africa,Jaipur,1996-10-23,https://stats.espncricinfo.com/ci/engine/match/66062.html,222,7,28.82882882882883,L
28,55,38,5,0,73.68,1,lbw,1,v South Africa,Rajkot,1996-10-29,https://stats.espncricinfo.com/ci/engine/match/66064.html,185,10,15.135135135135137,L
62,-,61,8,0,101.63,1,caught,1,v Australia,Mohali,1996-11-03,https://stats.espncricinfo.com/ci/engine/match/66066.html,289,6,21.453287197231834,W
67,128,88,6,0,76.13,2,caught,1,v South Africa,Wankhede,1996-11-06,https://stats.espncricinfo.com/ci/engine/match/66067.html,220,7,30.454545454545457,W
114,157,126,14,0,90.47,1,stumped,1,v South Africa,Wankhede,1996-12-14,https://stats.espncricinfo.com/ci/engine/match/64533.html,267,6,42.69662921348314,W
0,12,4,0,0,0.00,2,bowled,2,v South Africa,Bloemfontein,1997-01-23,https://stats.espncricinfo.com/ci/engine/match/66068.html,231,10,0.0,L
6,8,8,1,0,75.00,1,caught,2,v Zimbabwe,Paarl,1997-01-27,https://stats.espncricinfo.com/ci/engine/match/66070.html,236,10,2.5423728813559325,L
1,14,14,0,0,7.14,4,bowled,1,v South Africa,Gqeberha,1997-02-02,https://stats.espncricinfo.com/ci/engine/match/66073.html,179,9,0.5586592178770949,L
14,34,24,2,0,58.33,3,caught,1,v South Africa,East London,1997-02-04,https://stats.espncricinfo.com/ci/engine/match/66074.html,232,5,6.0344827586206895,L
41,81,56,1,1,73.21,4,caught,1,v Zimbabwe,Centurion,1997-02-07,https://stats.espncricinfo.com/ci/engine/match/66075.html,216,10,18.98148148148148,L
104,121,97,8,1,107.21,2,caught,2,v Zimbabwe,Benoni,1997-02-09,https://stats.espncricinfo.com/ci/engine/match/66076.html,241,4,43.15352697095436,W
32,55,27,6,0,118.51,2,caught,1,v South Africa,Durban,1997-02-12,https://stats.espncricinfo.com/ci/engine/match/66077.html,191,9,16.75392670157068,L
