Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
25,54,35,1,0,71.42,4,caught,1,v Sri Lanka,Colombo (RPS),1994-09-05,https://stats.espncricinfo.com/ci/engine/match/65975.html,125,5,20.0
31,37,30,2,0,103.33,4,caught,1,v Australia,Colombo (RPS),1994-09-09,https://stats.espncricinfo.com/ci/engine/match/65977.html,246,8,12.601626016260163
45,58,51,1,1,88.23,4,caught,2,v Sri Lanka,Colombo (SSC),1994-09-17,https://stats.espncricinfo.com/ci/engine/match/65980.html,99,4,45.45454545454545
1,12,6,0,0,16.66,4,caught,2,v West Indies,Faridabad,1994-10-17,https://stats.espncricinfo.com/ci/engine/match/64475.html,177,10,0.5649717514124294
34,76,37,3,0,91.89,4,caught,2,v West Indies,Wankhede,1994-10-20,https://stats.espncricinfo.com/ci/engine/match/64476.html,135,4,25.185185185185183
81,145,84,7,1,96.42,4,caught,2,v West Indies,Chennai,1994-10-23,https://stats.espncricinfo.com/ci/engine/match/65997.html,225,6,36.0
47,56,39,5,0,120.51,4,not out,2,v New Zealand,Vadodara,1994-10-28,https://stats.espncricinfo.com/ci/engine/match/65999.html,271,3,17.343173431734318
26,41,34,2,0,76.47,4,caught,2,v West Indies,Kanpur,1994-10-30,https://stats.espncricinfo.com/ci/engine/match/66000.html,211,5,12.322274881516588
58,75,45,6,0,128.88,4,not out,1,v New Zealand,Delhi,1994-11-03,https://stats.espncricinfo.com/ci/engine/match/66002.html,289,3,20.069204152249135
41,63,38,3,0,107.89,4,caught,1,v West Indies,Eden Gardens,1994-11-05,https://stats.espncricinfo.com/ci/engine/match/66003.html,274,6,14.963503649635038
45,46,42,4,0,107.14,4,caught,1,v West Indies,Visakhapatnam,1994-11-07,https://stats.espncricinfo.com/ci/engine/match/64480.html,260,4,17.307692307692307
17,22,18,1,0,94.44,4,not out,2,v West Indies,Cuttack,1994-11-09,https://stats.espncricinfo.com/ci/engine/match/64481.html,256,2,6.640625
2,15,5,0,0,40.00,5,caught,1,v West Indies,Jaipur,1994-11-11,https://stats.espncricinfo.com/ci/engine/match/64482.html,259,5,0.7722007722007722
28,76,66,2,0,42.42,4,caught,1,v New Zealand,Napier,1995-02-16,https://stats.espncricinfo.com/ci/engine/match/66019.html,160,10,17.5
20,44,37,1,0,54.05,4,run out,2,v South Africa,Hamilton,1995-02-18,https://stats.espncricinfo.com/ci/engine/match/66020.html,209,9,9.569377990430622
25,30,24,0,2,104.16,4,caught,2,v Australia,Dunedin,1995-02-22,https://stats.espncricinfo.com/ci/engine/match/66022.html,252,5,9.920634920634921
11,31,24,1,0,45.83,4,caught,2,v Pakistan,Sharjah,1995-04-07,https://stats.espncricinfo.com/ci/engine/match/65687.html,169,10,6.508875739644971
90,121,89,5,2,101.12,4,not out,2,v Sri Lanka,Sharjah,1995-04-14,https://stats.espncricinfo.com/ci/engine/match/65691.html,233,2,38.62660944206009
32,52,45,3,0,71.11,4,bowled,1,v New Zealand,Jamshedpur,1995-11-15,https://stats.espncricinfo.com/ci/engine/match/64502.html,236,10,13.559322033898304
17,60,37,0,0,45.94,4,run out,2,v New Zealand,Amritsar,1995-11-18,https://stats.espncricinfo.com/ci/engine/match/64503.html,146,4,11.643835616438356
58,95,68,5,0,85.29,4,lbw,2,v New Zealand,Pune,1995-11-24,https://stats.espncricinfo.com/ci/engine/match/64504.html,236,5,24.576271186440678
1,5,6,0,0,16.66,4,bowled,2,v New Zealand,Nagpur,1995-11-26,https://stats.espncricinfo.com/ci/engine/match/64505.html,249,10,0.4016064257028112
4,6,4,0,0,100.00,4,caught,2,v New Zealand,Brabourne,1995-11-29,https://stats.espncricinfo.com/ci/engine/match/64506.html,128,4,3.125
32,83,59,4,0,54.23,4,caught,2,v West Indies,Gwalior,1996-02-21,https://stats.espncricinfo.com/ci/engine/match/65165.html,174,5,18.39080459770115
10,40,17,1,0,58.82,4,bowled,2,v Australia,Wankhede,1996-02-27,https://stats.espncricinfo.com/ci/engine/match/65174.html,242,10,4.132231404958678
72,101,80,4,0,90.00,4,not out,1,v Sri Lanka,Delhi,1996-03-02,https://stats.espncricinfo.com/ci/engine/match/65179.html,271,3,26.56826568265683
2,14,10,0,0,20.00,4,caught,1,v Zimbabwe,Kanpur,1996-03-06,https://stats.espncricinfo.com/ci/engine/match/65184.html,247,5,0.8097165991902834
27,27,22,1,1,122.72,4,caught,1,v Pakistan,Bengaluru,1996-03-09,https://stats.espncricinfo.com/ci/engine/match/65187.html,287,8,9.40766550522648
0,3,6,0,0,0.00,4,caught,2,v Sri Lanka,Eden Gardens,1996-03-13,https://stats.espncricinfo.com/ci/engine/match/65190.html,120,8,0.0
9,-,11,1,0,81.81,3,run out,1,v Sri Lanka,Singapore,1996-04-03,https://stats.espncricinfo.com/ci/engine/match/66027.html,199,10,4.522613065326634
29,-,51,0,0,56.86,3,caught,1,v Pakistan,Singapore,1996-04-05,https://stats.espncricinfo.com/ci/engine/match/66028.html,226,8,12.831858407079647
7,-,25,0,0,28.00,4,caught,2,v Pakistan,Sharjah,1996-04-12,https://stats.espncricinfo.com/ci/engine/match/65754.html,233,10,3.004291845493562
28,88,62,1,0,45.16,6,caught,2,v South Africa,Sharjah,1996-04-14,https://stats.espncricinfo.com/ci/engine/match/65756.html,208,8,13.461538461538462
29,-,10,2,2,290.00,6,not out,1,v Pakistan,Sharjah,1996-04-15,https://stats.espncricinfo.com/ci/engine/match/65757.html,305,5,9.508196721311474
4,11,8,0,0,50.00,5,stumped,1,v South Africa,Sharjah,1996-04-17,https://stats.espncricinfo.com/ci/engine/match/65759.html,215,8,1.8604651162790697
39,51,43,3,0,90.69,6,run out,2,v South Africa,Sharjah,1996-04-19,https://stats.espncricinfo.com/ci/engine/match/65760.html,249,9,15.66265060240964
15,49,25,1,0,60.00,5,not out,2,v England,The Oval,1996-05-23,https://stats.espncricinfo.com/ci/engine/match/65017.html,96,5,15.625
40,82,68,2,1,58.82,4,caught,1,v England,Leeds,1996-05-25,https://stats.espncricinfo.com/ci/engine/match/65018.html,158,10,25.31645569620253
73,77,64,3,2,114.06,4,not out,1,v England,Manchester,1996-05-26,https://stats.espncricinfo.com/ci/engine/match/65019.html,236,4,30.93220338983051
58,-,99,1,0,58.58,4,stumped,1,v Sri Lanka,Colombo (RPS),1996-08-28,https://stats.espncricinfo.com/ci/engine/match/65982.html,226,5,25.663716814159294
40,65,54,5,0,74.07,4,not out,2,v Zimbabwe,Colombo (SSC),1996-09-01,https://stats.espncricinfo.com/ci/engine/match/65984.html,229,3,17.46724890829694
3,6,6,0,0,50.00,4,caught,1,v Australia,Colombo (SSC),1996-09-06,https://stats.espncricinfo.com/ci/engine/match/65986.html,201,10,1.4925373134328357
30,-,29,1,2,103.44,4,not out,2,v Pakistan,Toronto,1996-09-16,https://stats.espncricinfo.com/ci/engine/match/66030.html,173,2,17.341040462427745
88,-,99,9,0,88.88,4,caught,1,v Pakistan,Toronto,1996-09-17,https://stats.espncricinfo.com/ci/engine/match/66031.html,264,6,33.33333333333333
38,-,68,3,0,55.88,4,stumped,1,v Pakistan,Toronto,1996-09-18,https://stats.espncricinfo.com/ci/engine/match/66032.html,191,10,19.895287958115183
16,-,31,2,0,51.61,4,caught,2,v Pakistan,Toronto,1996-09-21,https://stats.espncricinfo.com/ci/engine/match/66033.html,161,10,9.937888198757763
