Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
8,24,18,1,0,44.44,1,caught,2,v Pakistan,Dhaka,2000-06-03,https://stats.espncricinfo.com/ci/engine/match/65703.html,251,10,3.187250996015936
66,136,101,7,2,65.34,1,stumped,2,v Kenya,Nairobi (Gym),2000-10-03,https://stats.espncricinfo.com/ci/engine/match/66170.html,209,2,31.57894736842105
24,73,42,5,0,57.14,1,caught,1,v Australia,Nairobi (Gym),2000-10-07,https://stats.espncricinfo.com/ci/engine/match/66173.html,265,9,9.056603773584905
141,216,142,11,6,99.29,1,not out,1,v South Africa,Nairobi (Gym),2000-10-13,https://stats.espncricinfo.com/ci/engine/match/66178.html,295,6,47.79661016949153
117,177,130,9,4,90.00,1,caught,1,v New Zealand,Nairobi (Gym),2000-10-15,https://stats.espncricinfo.com/ci/engine/match/66179.html,264,6,44.31818181818182
17,-,24,2,0,70.83,1,caught,1,v Sri Lanka,Sharjah,2000-10-20,https://stats.espncricinfo.com/ci/engine/match/65894.html,224,8,7.5892857142857135
18,-,29,0,0,62.06,4,caught,1,v Zimbabwe,Sharjah,2000-10-22,https://stats.espncricinfo.com/ci/engine/match/65896.html,265,8,6.7924528301886795
66,-,98,4,1,67.34,2,caught,2,v Zimbabwe,Sharjah,2000-10-26,https://stats.espncricinfo.com/ci/engine/match/65898.html,219,7,30.136986301369863
1,-,3,0,0,33.33,1,caught,2,v Sri Lanka,Sharjah,2000-10-27,https://stats.espncricinfo.com/ci/engine/match/65899.html,226,10,0.4424778761061947
3,-,13,0,0,23.07,1,caught,2,v Sri Lanka,Sharjah,2000-10-29,https://stats.espncricinfo.com/ci/engine/match/65900.html,54,10,5.555555555555555
44,102,79,3,0,55.69,1,caught,2,v Zimbabwe,Cuttack,2000-12-02,https://stats.espncricinfo.com/ci/engine/match/64680.html,255,7,17.254901960784313
144,192,152,8,6,94.73,2,caught,1,v Zimbabwe,Ahmedabad,2000-12-05,https://stats.espncricinfo.com/ci/engine/match/64681.html,306,5,47.05882352941176
5,15,9,1,0,55.55,1,bowled,1,v Zimbabwe,Jodhpur,2000-12-08,https://stats.espncricinfo.com/ci/engine/match/64682.html,283,8,1.76678445229682
71,117,68,12,1,104.41,1,not out,2,v Zimbabwe,Kanpur,2000-12-11,https://stats.espncricinfo.com/ci/engine/match/64683.html,166,1,42.77108433734939
6,24,27,0,0,22.22,1,caught,1,v Australia,Bengaluru,2001-03-25,https://stats.espncricinfo.com/ci/engine/match/64706.html,315,10,1.9047619047619049
4,29,15,0,0,26.66,1,bowled,1,v Australia,Pune,2001-03-28,https://stats.espncricinfo.com/ci/engine/match/64708.html,248,9,1.6129032258064515
0,2,3,0,0,0.00,4,caught,1,v Australia,Indore,2001-03-31,https://stats.espncricinfo.com/ci/engine/match/64709.html,299,8,0.0
9,42,36,1,0,25.00,1,caught,2,v Australia,Visakhapatnam,2001-04-03,https://stats.espncricinfo.com/ci/engine/match/64710.html,245,10,3.6734693877551026
74,106,83,9,2,89.15,1,caught,1,v Australia,Margao,2001-04-06,https://stats.espncricinfo.com/ci/engine/match/64711.html,265,6,27.92452830188679
2,2,5,0,0,40.00,1,caught,2,v Zimbabwe,Harare,2001-06-24,https://stats.espncricinfo.com/ci/engine/match/66313.html,137,1,1.4598540145985401
85,174,125,8,1,68.00,1,caught,2,v Zimbabwe,Bulawayo,2001-06-27,https://stats.espncricinfo.com/ci/engine/match/66314.html,237,6,35.86497890295359
20,60,51,3,0,39.21,1,caught,2,v West Indies,Bulawayo,2001-06-30,https://stats.espncricinfo.com/ci/engine/match/66315.html,170,4,11.76470588235294
62,87,87,10,1,71.26,1,caught,2,v West Indies,Harare,2001-07-04,https://stats.espncricinfo.com/ci/engine/match/66317.html,230,4,26.956521739130434
28,38,32,3,1,87.50,1,lbw,2,v West Indies,Harare,2001-07-07,https://stats.espncricinfo.com/ci/engine/match/66318.html,274,8,10.218978102189782
5,27,17,1,0,29.41,2,caught,2,v New Zealand,Colombo (RPS),2001-07-20,https://stats.espncricinfo.com/ci/engine/match/66320.html,127,10,3.937007874015748
69,122,105,7,1,65.71,5,caught,2,v Sri Lanka,Colombo (RPS),2001-07-22,https://stats.espncricinfo.com/ci/engine/match/66321.html,215,7,32.093023255813954
4,9,8,1,0,50.00,1,lbw,2,v New Zealand,Colombo (RPS),2001-07-26,https://stats.espncricinfo.com/ci/engine/match/66323.html,133,10,3.007518796992481
0,26,16,0,0,0.00,2,caught,1,v Sri Lanka,Colombo (SSC),2001-08-01,https://stats.espncricinfo.com/ci/engine/match/66326.html,227,8,0.0
64,134,103,7,0,62.13,1,caught,2,v New Zealand,Colombo (SSC),2001-08-02,https://stats.espncricinfo.com/ci/engine/match/66327.html,267,3,23.970037453183522
1,10,7,0,0,14.28,1,caught,2,v Sri Lanka,Colombo (RPS),2001-08-05,https://stats.espncricinfo.com/ci/engine/match/66328.html,174,10,0.5747126436781609
127,150,126,14,5,100.79,1,caught,1,v South Africa,Johannesburg,2001-10-05,https://stats.espncricinfo.com/ci/engine/match/66098.html,279,5,45.51971326164875
24,34,27,1,2,88.88,1,caught,1,v South Africa,Centurion,2001-10-10,https://stats.espncricinfo.com/ci/engine/match/66100.html,233,10,10.300429184549357
24,57,35,1,2,68.57,1,bowled,2,v Kenya,Gqeberha,2001-10-17,https://stats.espncricinfo.com/ci/engine/match/66103.html,176,10,13.636363636363635
85,127,95,6,4,89.47,1,caught,2,v South Africa,East London,2001-10-19,https://stats.espncricinfo.com/ci/engine/match/66104.html,236,10,36.016949152542374
