Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
44,75,49,2,2,89.79,5,caught,1,v South Africa,Centurion,2006-12-03,https://stats.espncricinfo.com/ci/engine/match/249214.html,200,9,22.0,L
62,56,42,3,4,147.61,4,not out,1,v West Indies,Nagpur,2007-01-21,https://stats.espncricinfo.com/ci/engine/match/267706.html,338,3,18.34319526627219,W
6,26,19,0,0,31.57,6,caught,1,v West Indies,Cuttack,2007-01-24,https://stats.espncricinfo.com/ci/engine/match/267707.html,189,10,3.1746031746031744,W
40,31,20,1,3,200.00,5,not out,1,v West Indies,Vadodara,2007-01-31,https://stats.espncricinfo.com/ci/engine/match/267709.html,341,3,11.730205278592376,W
48,95,68,1,0,70.58,6,caught,2,v Sri Lanka,Rajkot,2007-02-11,https://stats.espncricinfo.com/ci/engine/match/267712.html,252,9,19.047619047619047,L
67,91,74,4,0,90.54,6,not out,2,v Sri Lanka,Margao,2007-02-14,https://stats.espncricinfo.com/ci/engine/match/267715.html,233,5,28.75536480686695,W
0,5,3,0,0,0.00,7,caught,1,v Bangladesh,Port of Spain,2007-03-17,https://stats.espncricinfo.com/ci/engine/match/247464.html,191,10,0.0,L
29,34,25,2,1,116.00,4,caught,1,v Bermuda,Port of Spain,2007-03-19,https://stats.espncricinfo.com/ci/engine/match/247468.html,413,5,7.021791767554479,W
0,3,1,0,0,0.00,7,lbw,2,v Sri Lanka,Port of Spain,2007-03-23,https://stats.espncricinfo.com/ci/engine/match/247476.html,185,10,0.0,L
91,182,106,7,0,85.84,3,not out,2,v Bangladesh,Mirpur,2007-05-10,https://stats.espncricinfo.com/ci/engine/match/282688.html,251,5,36.254980079681275,W
36,73,54,4,0,66.66,3,caught,1,v Bangladesh,Mirpur,2007-05-12,https://stats.espncricinfo.com/ci/engine/match/282689.html,284,8,12.676056338028168,W
2,13,4,0,0,50.00,7,run out,1,v Africa XI,Bengaluru,2007-06-06,https://stats.espncricinfo.com/ci/engine/match/289107.html,317,9,0.6309148264984227,L
33,56,38,2,2,86.84,4,bowled,1,v Africa XI,Chennai,2007-06-09,https://stats.espncricinfo.com/ci/engine/match/289108.html,337,7,9.792284866468842,L
139,144,97,15,5,143.29,7,not out,1,v Africa XI,Chennai,2007-06-10,https://stats.espncricinfo.com/ci/engine/match/289110.html,331,8,41.99395770392749,L
0,3,4,0,0,0.00,5,bowled,2,v South Africa,Belfast,2007-06-29,https://stats.espncricinfo.com/ci/engine/match/293077.html,227,4,0.0,W
14,27,11,2,0,127.27,6,not out,2,v South Africa,Belfast,2007-07-01,https://stats.espncricinfo.com/ci/engine/match/293078.html,152,4,9.210526315789473,W
19,76,60,1,0,31.66,6,caught,2,v England,Southampton,2007-08-21,https://stats.espncricinfo.com/ci/engine/match/258471.html,184,10,10.326086956521738,L
21,31,18,3,0,116.66,5,caught,1,v England,Bristol,2007-08-24,https://stats.espncricinfo.com/ci/engine/match/258472.html,329,7,6.382978723404255,W
13,30,20,0,0,65.00,6,caught,2,v England,Birmingham,2007-08-27,https://stats.espncricinfo.com/ci/engine/match/258473.html,239,10,5.439330543933055,L
13,33,18,1,0,72.22,6,bowled,1,v England,Manchester,2007-08-30,https://stats.espncricinfo.com/ci/engine/match/258474.html,212,10,6.132075471698113,L
24,60,17,3,0,141.17,5,caught,1,v England,Leeds,2007-09-02,https://stats.espncricinfo.com/ci/engine/match/258475.html,324,6,7.4074074074074066,W
35,50,37,3,0,94.59,6,bowled,2,v England,The Oval,2007-09-05,https://stats.espncricinfo.com/ci/engine/match/258476.html,317,8,11.041009463722396,W
50,98,72,4,1,69.44,7,caught,1,v England,Lord's,2007-09-08,https://stats.espncricinfo.com/ci/engine/match/258477.html,187,10,26.737967914438503,L
58,134,88,2,2,65.90,6,caught,2,v Australia,Kochi,2007-10-02,https://stats.espncricinfo.com/ci/engine/match/297794.html,222,10,26.126126126126124,L
33,49,37,4,0,89.18,6,caught,2,v Australia,Hyderabad,2007-10-05,https://stats.espncricinfo.com/ci/engine/match/297795.html,243,10,13.580246913580247,L
50,59,35,5,1,142.85,4,not out,1,v Australia,Chandigarh,2007-10-08,https://stats.espncricinfo.com/ci/engine/match/297796.html,291,4,17.18213058419244,W
4,12,7,1,0,57.14,6,caught,1,v Australia,Vadodara,2007-10-11,https://stats.espncricinfo.com/ci/engine/match/297797.html,148,10,2.7027027027027026,L
26,44,29,2,1,89.65,6,caught,2,v Australia,Nagpur,2007-10-14,https://stats.espncricinfo.com/ci/engine/match/297798.html,299,7,8.695652173913043,L
5,22,11,1,0,45.45,6,caught,2,v Australia,Wankhede,2007-10-17,https://stats.espncricinfo.com/ci/engine/match/297799.html,195,8,2.564102564102564,W
