Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,2013-07-09,https://stats.espncricinfo.com/ci/engine/match/597928.html,119,3,26.05042016806723,W
2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain,2013-07-11,https://stats.espncricinfo.com/ci/engine/match/597929.html,203,9,0.9852216748768473,W
115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,2013-07-24,https://stats.espncricinfo.com/ci/engine/match/643665.html,230,4,50.0,W
14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,2013-07-26,https://stats.espncricinfo.com/ci/engine/match/643667.html,294,8,4.761904761904762,W
68,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,2013-07-28,https://stats.espncricinfo.com/ci/engine/match/643669.html,187,3,36.36363636363637,W
61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,2013-10-13,https://stats.espncricinfo.com/ci/engine/match/647249.html,232,10,26.29310344827586,L
100,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur,2013-10-16,https://stats.espncricinfo.com/ci/engine/match/647251.html,362,1,27.624309392265197,W
68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,2013-10-19,https://stats.espncricinfo.com/ci/engine/match/647253.html,303,9,22.442244224422442,L
115,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,2013-10-30,https://stats.espncricinfo.com/ci/engine/match/647259.html,351,4,32.763532763532766,W
0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru,2013-11-02,https://stats.espncricinfo.com/ci/engine/match/647261.html,383,6,0.0,W
86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,2013-11-21,https://stats.espncricinfo.com/ci/engine/match/676529.html,212,4,40.56603773584906,W
99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam,2013-11-24,https://stats.espncricinfo.com/ci/engine/match/676531.html,288,7,34.375,L
19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,2013-11-27,https://stats.espncricinfo.com/ci/engine/match/676533.html,266,5,7.142857142857142,W
31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,2013-12-05,https://stats.espncricinfo.com/ci/engine/match/648651.html,217,10,14.285714285714285,L
0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban,2013-12-08,https://stats.espncricinfo.com/ci/engine/match/648653.html,146,10,0.0,L
