Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
123,201,123,10,1,100.00,3,not out,1,v New Zealand,Taupo,1999-01-09,https://stats.espncricinfo.com/ci/engine/match/64598.html,257,5,47.85992217898833
38,97,65,4,0,58.46,3,caught,2,v New Zealand,Napier,1999-01-12,https://stats.espncricinfo.com/ci/engine/match/64599.html,214,8,17.75700934579439
68,95,71,5,1,95.77,3,caught,1,v New Zealand,Wellington,1999-01-14,https://stats.espncricinfo.com/ci/engine/match/64600.html,208,4,32.69230769230769
51,95,71,5,1,71.83,3,bowled,2,v New Zealand,Auckland,1999-01-16,https://stats.espncricinfo.com/ci/engine/match/64601.html,208,5,24.519230769230766
29,58,35,2,0,82.85,3,caught,2,v New Zealand,Christchurch,1999-01-19,https://stats.espncricinfo.com/ci/engine/match/64602.html,230,10,12.608695652173912
116,118,118,12,0,98.30,3,caught,1,v Sri Lanka,Nagpur,1999-03-22,https://stats.espncricinfo.com/ci/engine/match/66212.html,287,4,40.41811846689895
3,11,9,0,0,33.33,3,bowled,2,v Pakistan,Jaipur,1999-03-24,https://stats.espncricinfo.com/ci/engine/match/66213.html,135,10,2.2222222222222223
17,29,15,3,0,113.33,3,caught,1,v Sri Lanka,Pune,1999-03-30,https://stats.espncricinfo.com/ci/engine/match/66215.html,286,6,5.944055944055944
0,3,3,0,0,0.00,3,caught,1,v Pakistan,Mohali,1999-04-01,https://stats.espncricinfo.com/ci/engine/match/66216.html,196,10,0.0
25,64,37,4,0,67.56,3,lbw,2,v Pakistan,Bengaluru,1999-04-04,https://stats.espncricinfo.com/ci/engine/match/66217.html,168,10,14.880952380952381
28,119,79,0,0,35.44,3,caught,2,v Pakistan,Sharjah,1999-04-08,https://stats.espncricinfo.com/ci/engine/match/65776.html,163,6,17.177914110429448
16,49,38,1,0,42.10,3,caught,1,v England,Sharjah,1999-04-09,https://stats.espncricinfo.com/ci/engine/match/65777.html,222,5,7.207207207207207
63,135,92,6,0,68.47,3,run out,1,v England,Sharjah,1999-04-11,https://stats.espncricinfo.com/ci/engine/match/65778.html,239,6,26.359832635983267
81,192,121,6,0,66.94,3,run out,2,v Pakistan,Sharjah,1999-04-13,https://stats.espncricinfo.com/ci/engine/match/65780.html,206,4,39.32038834951456
0,1,1,0,0,0.00,3,lbw,1,v Pakistan,Sharjah,1999-04-16,https://stats.espncricinfo.com/ci/engine/match/65781.html,125,10,0.0
54,103,75,5,0,72.00,3,bowled,1,v South Africa,Hove,1999-05-15,https://stats.espncricinfo.com/ci/engine/match/65194.html,253,5,21.34387351778656
13,23,14,2,0,92.85,3,caught,2,v Zimbabwe,Leicester,1999-05-19,https://stats.espncricinfo.com/ci/engine/match/65200.html,249,10,5.220883534136546
104,158,109,10,0,95.41,3,not out,1,v Kenya,Bristol,1999-05-23,https://stats.espncricinfo.com/ci/engine/match/65207.html,329,2,31.61094224924012
145,179,129,17,1,112.40,3,run out,1,v Sri Lanka,Taunton,1999-05-26,https://stats.espncricinfo.com/ci/engine/match/65213.html,373,6,38.8739946380697
53,116,82,6,0,64.63,3,caught,1,v England,Birmingham,1999-05-29,https://stats.espncricinfo.com/ci/engine/match/65217.html,232,8,22.844827586206897
2,8,6,0,0,33.33,3,caught,2,v Australia,The Oval,1999-06-04,https://stats.espncricinfo.com/ci/engine/match/65223.html,205,10,0.975609756097561
61,119,89,4,0,68.53,3,caught,1,v Pakistan,Manchester,1999-06-08,https://stats.espncricinfo.com/ci/engine/match/65226.html,227,6,26.87224669603524
29,45,35,5,0,82.85,3,caught,1,v New Zealand,Nottingham,1999-06-12,https://stats.espncricinfo.com/ci/engine/match/65230.html,251,6,11.553784860557768
5,25,11,0,0,45.45,3,caught,1,v Australia,Galle,1999-08-23,https://stats.espncricinfo.com/ci/engine/match/66226.html,151,7,3.3112582781456954
22,36,26,1,0,84.61,3,caught,1,v Sri Lanka,Colombo (RPS),1999-08-25,https://stats.espncricinfo.com/ci/engine/match/66227.html,205,8,10.731707317073171
0,2,2,0,0,0.00,4,caught,2,v Australia,Colombo (SSC),1999-08-28,https://stats.espncricinfo.com/ci/engine/match/66229.html,211,10,0.0
13,43,39,0,0,33.33,3,caught,1,v Sri Lanka,Colombo (SSC),1999-08-29,https://stats.espncricinfo.com/ci/engine/match/66230.html,296,4,4.391891891891892
12,17,15,3,0,80.00,3,caught,1,v Zimbabwe,Singapore,1999-09-04,https://stats.espncricinfo.com/ci/engine/match/66233.html,245,6,4.8979591836734695
39,80,49,3,0,79.59,3,caught,2,v West Indies,Singapore,1999-09-05,https://stats.espncricinfo.com/ci/engine/match/66234.html,154,8,25.324675324675322
29,71,58,4,0,50.00,3,caught,1,v West Indies,Singapore,1999-09-07,https://stats.espncricinfo.com/ci/engine/match/66235.html,149,6,19.463087248322147
103,-,124,8,2,83.06,3,not out,1,v West Indies,Singapore,1999-09-08,https://stats.espncricinfo.com/ci/engine/match/66236.html,254,6,40.55118110236221
5,-,14,1,0,35.71,3,caught,2,v West Indies,Toronto,1999-09-11,https://stats.espncricinfo.com/ci/engine/match/66046.html,165,2,3.0303030303030303
16,-,59,1,0,27.11,3,lbw,2,v West Indies,Toronto,1999-09-12,https://stats.espncricinfo.com/ci/engine/match/66047.html,120,10,13.333333333333334
77,-,87,6,2,88.50,5,bowled,1,v West Indies,Toronto,1999-09-14,https://stats.espncricinfo.com/ci/engine/match/66048.html,225,7,34.22222222222222
9,20,19,2,0,47.36,4,not out,2,v South Africa,Nairobi (Gym),1999-09-26,https://stats.espncricinfo.com/ci/engine/match/66242.html,120,2,7.5
30,-,56,2,0,53.57,3,caught,1,v Kenya,Nairobi (Gym),1999-09-29,https://stats.espncricinfo.com/ci/engine/match/66244.html,220,7,13.636363636363635
12,23,15,1,0,80.00,4,lbw,1,v Zimbabwe,Nairobi (Gym),1999-10-01,https://stats.espncricinfo.com/ci/engine/match/66246.html,277,6,4.332129963898916
30,88,65,3,0,46.15,3,caught,2,v South Africa,Nairobi (Gym),1999-10-03,https://stats.espncricinfo.com/ci/engine/match/66247.html,209,10,14.354066985645932
39,56,43,3,0,90.69,3,lbw,2,v New Zealand,Rajkot,1999-11-05,https://stats.espncricinfo.com/ci/engine/match/64630.html,306,10,12.745098039215685
153,196,153,15,2,100.00,3,caught,1,v New Zealand,Hyderabad (Deccan),1999-11-08,https://stats.espncricinfo.com/ci/engine/match/64631.html,376,2,40.691489361702125
14,51,31,1,0,45.16,3,caught,1,v New Zealand,Gwalior,1999-11-11,https://stats.espncricinfo.com/ci/engine/match/64632.html,261,5,5.363984674329502
5,7,7,0,0,71.42,3,caught,2,v New Zealand,Guwahati,1999-11-14,https://stats.espncricinfo.com/ci/engine/match/64633.html,188,10,2.6595744680851063
29,67,53,3,2,54.71,3,not out,2,v New Zealand,Delhi,1999-11-17,https://stats.espncricinfo.com/ci/engine/match/64634.html,181,3,16.022099447513813
8,32,18,1,0,44.44,3,caught,1,v Pakistan,Brisbane,2000-01-10,https://stats.espncricinfo.com/ci/engine/match/65588.html,195,10,4.102564102564102
60,149,85,2,0,70.58,5,caught,2,v Australia,Melbourne,2000-01-12,https://stats.espncricinfo.com/ci/engine/match/65589.html,241,6,24.896265560165975
22,109,70,2,0,31.42,4,lbw,1,v Australia,Sydney,2000-01-14,https://stats.espncricinfo.com/ci/engine/match/65590.html,100,10,22.0
15,41,31,1,0,48.38,4,lbw,2,v Pakistan,Hobart,2000-01-21,https://stats.espncricinfo.com/ci/engine/match/65593.html,230,10,6.521739130434782
32,81,58,1,0,55.17,3,caught,1,v Pakistan,Adelaide,2000-01-25,https://stats.espncricinfo.com/ci/engine/match/65595.html,267,6,11.985018726591761
63,97,82,10,0,76.82,3,caught,2,v Australia,Adelaide,2000-01-26,https://stats.espncricinfo.com/ci/engine/match/65596.html,177,10,35.59322033898305
3,26,14,0,0,21.42,3,caught,2,v Pakistan,Perth,2000-01-28,https://stats.espncricinfo.com/ci/engine/match/65597.html,157,10,1.910828025477707
65,145,106,6,0,61.32,3,caught,1,v Australia,Perth,2000-01-30,https://stats.espncricinfo.com/ci/engine/match/65598.html,226,6,28.761061946902654
17,19,21,2,0,80.95,3,caught,2,v South Africa,Kochi,2000-03-09,https://stats.espncricinfo.com/ci/engine/match/64657.html,302,7,5.629139072847682
36,81,59,4,0,61.01,4,caught,2,v South Africa,Jamshedpur,2000-03-12,https://stats.espncricinfo.com/ci/engine/match/64658.html,203,4,17.733990147783253
73,172,109,4,1,66.97,3,run out,1,v South Africa,Faridabad,2000-03-15,https://stats.espncricinfo.com/ci/engine/match/64659.html,248,8,29.435483870967744
3,17,10,0,0,30.00,3,caught,2,v South Africa,Vadodara,2000-03-17,https://stats.espncricinfo.com/ci/engine/match/64660.html,283,6,1.0600706713780919
79,103,70,11,0,112.85,3,run out,2,v South Africa,Nagpur,2000-03-19,https://stats.espncricinfo.com/ci/engine/match/64661.html,310,10,25.483870967741932
8,40,25,0,0,32.00,3,bowled,1,v South Africa,Sharjah,2000-03-22,https://stats.espncricinfo.com/ci/engine/match/65782.html,164,10,4.878048780487805
26,109,70,3,0,37.14,3,caught,2,v Pakistan,Sharjah,2000-03-23,https://stats.espncricinfo.com/ci/engine/match/65783.html,149,5,17.449664429530202
29,72,46,3,0,63.04,3,caught,2,v Pakistan,Sharjah,2000-03-26,https://stats.espncricinfo.com/ci/engine/match/65785.html,174,9,16.666666666666664
26,60,60,2,0,43.33,5,caught,1,v South Africa,Sharjah,2000-03-27,https://stats.espncricinfo.com/ci/engine/match/65786.html,164,10,15.853658536585366
24,64,44,3,0,54.54,4,caught,2,v Sri Lanka,Dhaka,2000-06-01,https://stats.espncricinfo.com/ci/engine/match/65701.html,205,10,11.707317073170733
26,34,32,3,0,81.25,3,lbw,2,v Pakistan,Dhaka,2000-06-03,https://stats.espncricinfo.com/ci/engine/match/65703.html,251,10,10.358565737051793
68,127,87,7,0,78.16,3,not out,2,v Kenya,Nairobi (Gym),2000-10-03,https://stats.espncricinfo.com/ci/engine/match/66170.html,209,2,32.535885167464116
9,32,18,2,0,50.00,3,caught,1,v Australia,Nairobi (Gym),2000-10-07,https://stats.espncricinfo.com/ci/engine/match/66173.html,265,9,3.3962264150943398
58,106,71,9,0,81.69,3,caught,1,v South Africa,Nairobi (Gym),2000-10-13,https://stats.espncricinfo.com/ci/engine/match/66178.html,295,6,19.661016949152543
22,52,35,1,0,62.85,3,run out,1,v New Zealand,Nairobi (Gym),2000-10-15,https://stats.espncricinfo.com/ci/engine/match/66179.html,264,6,8.333333333333332
16,-,21,2,0,76.19,3,run out,1,v Sri Lanka,Sharjah,2000-10-20,https://stats.espncricinfo.com/ci/engine/match/65894.html,224,8,7.142857142857142
85,-,121,4,0,70.24,1,caught,1,v Zimbabwe,Sharjah,2000-10-22,https://stats.espncricinfo.com/ci/engine/match/65896.html,265,8,32.075471698113205
9,28,16,1,0,56.25,3,run out,2,v Zimbabwe,Cuttack,2000-12-02,https://stats.espncricinfo.com/ci/engine/match/64680.html,255,7,3.5294117647058822
62,146,88,3,0,70.45,3,run out,1,v Zimbabwe,Ahmedabad,2000-12-05,https://stats.espncricinfo.com/ci/engine/match/64681.html,306,5,20.26143790849673
30,87,53,3,0,56.60,3,caught,1,v Zimbabwe,Jodhpur,2000-12-08,https://stats.espncricinfo.com/ci/engine/match/64682.html,283,8,10.60070671378092
6,18,16,1,0,37.50,3,caught,1,v Zimbabwe,Rajkot,2000-12-14,https://stats.espncricinfo.com/ci/engine/match/64684.html,301,6,1.9933554817275747
80,144,84,3,1,95.23,4,caught,1,v Australia,Bengaluru,2001-03-25,https://stats.espncricinfo.com/ci/engine/match/64706.html,315,10,25.396825396825395
13,27,23,2,0,56.52,4,run out,1,v Australia,Pune,2001-03-28,https://stats.espncricinfo.com/ci/engine/match/64708.html,248,9,5.241935483870968
15,30,34,3,0,44.11,1,caught,1,v Australia,Indore,2001-03-31,https://stats.espncricinfo.com/ci/engine/match/64709.html,299,8,5.016722408026756
7,23,10,0,0,70.00,4,caught,2,v Australia,Visakhapatnam,2001-04-03,https://stats.espncricinfo.com/ci/engine/match/64710.html,245,10,2.857142857142857
31,65,45,1,0,68.88,4,caught,1,v Australia,Margao,2001-04-06,https://stats.espncricinfo.com/ci/engine/match/64711.html,265,6,11.69811320754717
72,103,64,7,0,112.50,4,not out,2,v Zimbabwe,Bulawayo,2001-06-27,https://stats.espncricinfo.com/ci/engine/match/66314.html,237,6,30.37974683544304
4,5,5,0,0,80.00,4,stumped,2,v West Indies,Bulawayo,2001-06-30,https://stats.espncricinfo.com/ci/engine/match/66315.html,170,4,2.3529411764705883
15,28,18,0,0,83.33,5,bowled,2,v West Indies,Harare,2001-07-04,https://stats.espncricinfo.com/ci/engine/match/66317.html,230,4,6.521739130434782
30,43,32,6,0,93.75,4,bowled,2,v West Indies,Harare,2001-07-07,https://stats.espncricinfo.com/ci/engine/match/66318.html,274,8,10.948905109489052
15,48,36,1,0,41.66,4,caught,2,v New Zealand,Colombo (RPS),2001-07-20,https://stats.espncricinfo.com/ci/engine/match/66320.html,127,10,11.811023622047244
49,126,81,0,0,60.49,6,not out,2,v Sri Lanka,Colombo (RPS),2001-07-22,https://stats.espncricinfo.com/ci/engine/match/66321.html,215,7,22.790697674418606
27,111,57,1,0,47.36,4,bowled,2,v New Zealand,Colombo (RPS),2001-07-26,https://stats.espncricinfo.com/ci/engine/match/66323.html,133,10,20.30075187969925
43,86,79,3,0,54.43,4,caught,2,v Sri Lanka,Colombo (RPS),2001-07-28,https://stats.espncricinfo.com/ci/engine/match/66324.html,184,3,23.369565217391305
47,122,88,3,0,53.40,4,stumped,1,v Sri Lanka,Colombo (SSC),2001-08-01,https://stats.espncricinfo.com/ci/engine/match/66326.html,227,8,20.704845814977972
57,76,56,6,0,101.78,4,not out,2,v New Zealand,Colombo (SSC),2001-08-02,https://stats.espncricinfo.com/ci/engine/match/66327.html,267,3,21.34831460674157
21,42,36,2,0,58.33,4,bowled,2,v Sri Lanka,Colombo (RPS),2001-08-05,https://stats.espncricinfo.com/ci/engine/match/66328.html,174,10,12.068965517241379
1,12,7,0,0,14.28,3,caught,1,v South Africa,Johannesburg,2001-10-05,https://stats.espncricinfo.com/ci/engine/match/66098.html,279,5,0.35842293906810035
54,107,79,5,0,68.35,4,caught,1,v South Africa,Centurion,2001-10-10,https://stats.espncricinfo.com/ci/engine/match/66100.html,233,10,23.17596566523605
11,25,23,2,0,47.82,4,caught,2,v Kenya,Gqeberha,2001-10-17,https://stats.espncricinfo.com/ci/engine/match/66103.html,176,10,6.25
71,122,87,7,0,81.60,4,not out,2,v South Africa,East London,2001-10-19,https://stats.espncricinfo.com/ci/engine/match/66104.html,236,10,30.08474576271186
77,143,102,6,0,75.49,4,caught,1,v South Africa,Durban,2001-10-26,https://stats.espncricinfo.com/ci/engine/match/66107.html,183,10,42.07650273224044
23,43,34,2,0,67.64,4,lbw,1,v Zimbabwe,Faridabad,2002-03-07,https://stats.espncricinfo.com/ci/engine/match/64753.html,274,6,8.394160583941606
66,82,59,6,0,111.86,4,not out,1,v Zimbabwe,Mohali,2002-03-10,https://stats.espncricinfo.com/ci/engine/match/64754.html,319,6,20.689655172413794
6,16,11,1,0,54.54,4,caught,1,v Zimbabwe,Kochi,2002-03-13,https://stats.espncricinfo.com/ci/engine/match/64755.html,191,10,3.1413612565445024
32,81,56,0,0,57.14,4,bowled,2,v Zimbabwe,Hyderabad (Deccan),2002-03-16,https://stats.espncricinfo.com/ci/engine/match/64756.html,244,5,13.114754098360656
26,34,33,1,0,78.78,4,bowled,1,v Zimbabwe,Guwahati,2002-03-19,https://stats.espncricinfo.com/ci/engine/match/64757.html,333,6,7.807807807807808
9,14,16,2,0,56.25,5,not out,2,v West Indies,Bridgetown,2002-05-29,https://stats.espncricinfo.com/ci/engine/match/64768.html,187,3,4.81283422459893
28,50,36,2,1,77.77,6,bowled,1,v West Indies,Port of Spain,2002-06-01,https://stats.espncricinfo.com/ci/engine/match/64769.html,123,10,22.76422764227642
20,38,34,1,0,58.82,5,caught,1,v West Indies,Port of Spain,2002-06-02,https://stats.espncricinfo.com/ci/engine/match/64770.html,260,10,7.6923076923076925
73,113,86,7,0,84.88,5,not out,2,v England,Lord's,2002-06-29,https://stats.espncricinfo.com/ci/engine/match/66284.html,272,4,26.838235294117645
