Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
23,45,39,4,0,58.97,1,caught,1,v New Zealand,Queenstown,2003-01-04,https://stats.espncricinfo.com/ci/engine/match/64816.html,122,10,18.852459016393443
45,63,40,9,0,112.50,2,caught,2,v New Zealand,Wellington,2003-01-08,https://stats.espncricinfo.com/ci/engine/match/64817.html,169,8,26.627218934911244
112,175,139,11,3,80.57,2,caught,2,v New Zealand,Auckland,2003-01-11,https://stats.espncricinfo.com/ci/engine/match/64818.html,200,9,56.00000000000001
4,23,19,0,0,21.05,2,caught,1,v New Zealand,Hamilton,2003-01-14,https://stats.espncricinfo.com/ci/engine/match/64819.html,122,10,3.278688524590164
6,15,9,1,0,66.66,3,caught,1,v Netherlands,Paarl,2003-02-12,https://stats.espncricinfo.com/ci/engine/match/65241.html,204,10,2.941176470588235
4,10,4,1,0,100.00,3,caught,1,v Australia,Centurion,2003-02-15,https://stats.espncricinfo.com/ci/engine/match/65244.html,125,10,3.2
36,78,38,6,0,94.73,1,caught,1,v Zimbabwe,Harare,2003-02-19,https://stats.espncricinfo.com/ci/engine/match/65250.html,255,7,14.117647058823529
24,33,24,4,0,100.00,1,caught,1,v Namibia,Pietermaritzburg,2003-02-23,https://stats.espncricinfo.com/ci/engine/match/65257.html,311,2,7.717041800643088
23,47,29,4,0,79.31,1,caught,1,v England,Durban,2003-02-26,https://stats.espncricinfo.com/ci/engine/match/65262.html,250,9,9.2
21,28,14,3,1,150.00,2,caught,2,v Pakistan,Centurion,2003-03-01,https://stats.espncricinfo.com/ci/engine/match/65268.html,276,4,7.608695652173914
3,8,8,0,0,37.50,1,caught,2,v Kenya,Cape Town,2003-03-07,https://stats.espncricinfo.com/ci/engine/match/65276.html,226,4,1.3274336283185841
66,110,76,5,3,86.84,2,caught,1,v Sri Lanka,Johannesburg,2003-03-10,https://stats.espncricinfo.com/ci/engine/match/65278.html,292,6,22.602739726027394
1,9,6,0,0,16.66,1,caught,2,v New Zealand,Centurion,2003-03-14,https://stats.espncricinfo.com/ci/engine/match/65281.html,150,3,0.6666666666666667
33,81,56,3,0,58.92,1,caught,1,v Kenya,Durban,2003-03-20,https://stats.espncricinfo.com/ci/engine/match/65285.html,270,4,12.222222222222221
82,107,81,10,3,101.23,2,run out,2,v Australia,Johannesburg,2003-03-23,https://stats.espncricinfo.com/ci/engine/match/65286.html,234,10,35.04273504273504
63,63,51,11,1,123.52,2,lbw,1,v Bangladesh,Dhaka,2003-04-11,https://stats.espncricinfo.com/ci/engine/match/66350.html,276,10,22.82608695652174
37,81,44,6,0,84.09,2,caught,1,v South Africa,Dhaka,2003-04-13,https://stats.espncricinfo.com/ci/engine/match/66351.html,307,4,12.052117263843648
43,51,44,8,0,97.72,1,caught,2,v Bangladesh,Dhaka,2003-04-16,https://stats.espncricinfo.com/ci/engine/match/66353.html,208,6,20.673076923076923
25,50,30,3,1,83.33,1,caught,1,v South Africa,Dhaka,2003-04-18,https://stats.espncricinfo.com/ci/engine/match/66355.html,215,10,11.627906976744185
8,30,18,1,0,44.44,1,caught,1,v South Africa,Dhaka,2003-04-21,https://stats.espncricinfo.com/ci/engine/match/66356.html,46,3,17.391304347826086
31,39,29,5,1,106.89,1,bowled,1,v New Zealand,Chennai,2003-10-23,https://stats.espncricinfo.com/ci/engine/match/66364.html,141,3,21.98581560283688
0,2,3,0,0,0.00,1,caught,1,v Australia,Gwalior,2003-10-26,https://stats.espncricinfo.com/ci/engine/match/66365.html,283,5,0.0
0,1,1,0,0,0.00,1,lbw,2,v Australia,Wankhede,2003-11-01,https://stats.espncricinfo.com/ci/engine/match/66367.html,209,10,0.0
39,80,53,3,1,73.58,1,bowled,2,v Australia,Bengaluru,2003-11-12,https://stats.espncricinfo.com/ci/engine/match/66371.html,286,8,13.636363636363635
130,193,134,15,2,97.01,1,caught,1,v New Zealand,Hyderabad (Deccan),2003-11-15,https://stats.espncricinfo.com/ci/engine/match/66372.html,353,5,36.827195467422094
5,10,12,1,0,41.66,2,caught,2,v Australia,Eden Gardens,2003-11-18,https://stats.espncricinfo.com/ci/engine/match/66373.html,198,10,2.525252525252525
35,85,59,3,0,59.32,1,bowled,2,v Australia,Melbourne,2004-01-09,https://stats.espncricinfo.com/ci/engine/match/65643.html,270,10,12.962962962962962
90,124,102,5,5,88.23,1,caught,2,v Zimbabwe,Hobart,2004-01-14,https://stats.espncricinfo.com/ci/engine/match/65645.html,211,3,42.65402843601896
32,51,34,6,0,94.11,1,caught,1,v Australia,Perth,2004-02-01,https://stats.espncricinfo.com/ci/engine/match/65653.html,203,10,15.763546798029557
23,30,22,4,0,104.54,1,caught,2,v Zimbabwe,Perth,2004-02-03,https://stats.espncricinfo.com/ci/engine/match/65654.html,136,6,16.911764705882355
3,13,8,0,0,37.50,1,caught,1,v Australia,Melbourne,2004-02-06,https://stats.espncricinfo.com/ci/engine/match/65655.html,222,10,1.3513513513513513
12,13,7,1,1,171.42,1,caught,2,v Australia,Sydney,2004-02-08,https://stats.espncricinfo.com/ci/engine/match/65656.html,151,10,7.9470198675496695
79,85,57,14,1,138.59,1,bowled,1,v Pakistan,Karachi,2004-03-13,https://stats.espncricinfo.com/ci/engine/match/64880.html,349,7,22.636103151862464
26,35,21,4,0,123.80,1,bowled,2,v Pakistan,Rawalpindi,2004-03-16,https://stats.espncricinfo.com/ci/engine/match/64882.html,317,10,8.201892744479496
13,29,18,3,0,72.22,1,caught,1,v Pakistan,Peshawar,2004-03-19,https://stats.espncricinfo.com/ci/engine/match/64883.html,244,9,5.327868852459016
26,53,29,5,0,89.65,1,caught,2,v Pakistan,Lahore,2004-03-21,https://stats.espncricinfo.com/ci/engine/match/64884.html,294,5,8.843537414965986
20,26,22,4,0,90.90,1,caught,1,v Pakistan,Lahore,2004-03-24,https://stats.espncricinfo.com/ci/engine/match/64885.html,293,7,6.825938566552901
0,3,3,0,0,0.00,1,run out,1,v U.A.E.,Dambulla,2004-07-16,https://stats.espncricinfo.com/ci/engine/match/65707.html,260,6,0.0
37,50,39,5,0,94.87,3,run out,2,v Sri Lanka,Dambulla,2004-07-18,https://stats.espncricinfo.com/ci/engine/match/65711.html,270,8,13.703703703703704
16,8,8,3,0,200.00,1,caught,2,v Bangladesh,Colombo (SSC),2004-07-21,https://stats.espncricinfo.com/ci/engine/match/65712.html,178,2,8.98876404494382
1,10,5,0,0,20.00,1,caught,2,v Pakistan,Colombo (RPS),2004-07-25,https://stats.espncricinfo.com/ci/engine/match/65715.html,241,8,0.4149377593360996
81,144,92,6,2,88.04,2,caught,1,v Sri Lanka,Colombo (RPS),2004-07-27,https://stats.espncricinfo.com/ci/engine/match/65716.html,271,6,29.88929889298893
5,12,12,1,0,41.66,1,lbw,2,v Sri Lanka,Colombo (RPS),2004-08-01,https://stats.espncricinfo.com/ci/engine/match/65718.html,203,9,2.4630541871921183
17,14,15,2,0,113.33,1,caught,2,v Pakistan,Amstelveen,2004-08-21,https://stats.espncricinfo.com/ci/engine/match/66374.html,127,10,13.385826771653544
4,11,12,0,0,33.33,1,caught,1,v England,Nottingham,2004-09-01,https://stats.espncricinfo.com/ci/engine/match/65032.html,170,10,2.3529411764705883
0,2,2,0,0,0.00,2,lbw,2,v England,The Oval,2004-09-03,https://stats.espncricinfo.com/ci/engine/match/65033.html,237,10,0.0
1,1,2,0,0,50.00,4,caught,1,v England,Lord's,2004-09-05,https://stats.espncricinfo.com/ci/engine/match/65034.html,204,10,0.49019607843137253
17,41,27,2,0,62.96,2,bowled,1,v Kenya,Southampton,2004-09-11,https://stats.espncricinfo.com/ci/engine/match/66198.html,290,4,5.862068965517241
10,40,20,0,0,50.00,2,caught,1,v Pakistan,Birmingham,2004-09-19,https://stats.espncricinfo.com/ci/engine/match/66207.html,200,10,5.0
53,102,65,6,2,81.53,1,bowled,1,v Pakistan,Eden Gardens,2004-11-13,https://stats.espncricinfo.com/ci/engine/match/66384.html,292,6,18.15068493150685
0,3,3,0,0,0.00,1,bowled,2,v Bangladesh,Dhaka,2004-12-26,https://stats.espncricinfo.com/ci/engine/match/64916.html,214,10,0.0
70,85,52,9,2,134.61,1,caught,1,v Bangladesh,Dhaka,2004-12-27,https://stats.espncricinfo.com/ci/engine/match/64917.html,348,5,20.114942528735632
45,52,39,5,1,115.38,2,caught,2,v ICC World XI,Melbourne,2005-01-10,https://stats.espncricinfo.com/ci/engine/match/66387.html,232,10,19.396551724137932
108,156,95,9,3,113.68,1,bowled,1,v Pakistan,Kochi,2005-04-02,https://stats.espncricinfo.com/ci/engine/match/64938.html,281,8,38.43416370106761
74,67,40,12,2,185.00,1,caught,1,v Pakistan,Visakhapatnam,2005-04-05,https://stats.espncricinfo.com/ci/engine/match/64939.html,356,9,20.786516853932586
2,8,5,0,0,40.00,1,caught,2,v Pakistan,Jamshedpur,2005-04-09,https://stats.espncricinfo.com/ci/engine/match/64940.html,213,10,0.9389671361502347
29,51,32,4,0,90.62,1,run out,1,v Pakistan,Ahmedabad,2005-04-12,https://stats.espncricinfo.com/ci/engine/match/64941.html,315,6,9.206349206349207
5,21,13,1,0,38.46,1,bowled,1,v Pakistan,Kanpur,2005-04-15,https://stats.espncricinfo.com/ci/engine/match/64942.html,249,6,2.0080321285140563
21,31,26,3,0,80.76,1,caught,2,v Pakistan,Delhi,2005-04-17,https://stats.espncricinfo.com/ci/engine/match/64943.html,144,10,14.583333333333334
